Title,Link
Google.Chrome.Autofill.CVE-2021-21215.Security.UI.Spoofing,https://www.fortiguard.com/encyclopedia/ips/54709
PyTorch.Model.Server.Insecure.Remote.MAR.File.Download.Request,https://www.fortiguard.com/encyclopedia/ips/54226
Unified.Automation.UaGateway.ImportCsv.DoS,https://www.fortiguard.com/encyclopedia/ips/53529
Trend.Micro.Control.Manager.Reporting.SQL.Injection,https://www.fortiguard.com/encyclopedia/ips/53366
UCanCode.E-XD.Visualization.UCCVIEWER.Remote.Code.Execution,https://www.fortiguard.com/encyclopedia/ips/53310
