Title,Link
ConnectWise.ScreenConnect.Extension.ZIP.Path.Traversal,https://www.fortiguard.com/encyclopedia/ips/54726
MS.Windows.SmartScreen.CVE-2024-21412.Security.Feature.Bypass,https://www.fortiguard.com/encyclopedia/ips/54678
MS.Windows.CVE-2024-21338.Elevation.of.Privilege,https://www.fortiguard.com/encyclopedia/ips/54621
Jenkins.LTS.Command.Line.Interface.Arbitrary.File.Read,https://www.fortiguard.com/encyclopedia/ips/54616
Foxit.Reader.JS.exportDataObject.Arbitrary.File.Creation,https://www.fortiguard.com/encyclopedia/ips/54583
